title,price_KES,price_USD
"Corn  CPHONE 17PRO MAX, 6.6"", 64GB Storage +5(2+3Extended) RAM, 5000mAh (Dual SIM) - ORANGE (2YR WRTY).",7999.0,61.81
"Itel A50C, 6.6”, 64GB + 6GB (2+4)GB RAM (Dual SIM), 4000mAh, Fingerprint & Face Unlock, Black",9800.0,75.72
"Infinix Hot 70,X6895B, 6.78"",  128GB + 4GB RAM,6000 mAh, 4G - Silver Dancer",17299.0,133.67
"XIAOMI Redmi Note 15, 6.8"", 6GB RAM + 128GB, 6000mAh, Black (25 Months Warranty)",26399.0,203.99
"Itel P80 6.7"", 128+ 8( 4+4)GB, 7000 mAh, Dual SIM, 4.5G - Rock Black",17400.0,134.45
"XIAOMI POCO C71,  6.88"", 64GB + 3GB RAM (Dual SIM), 5200mAh, 4G - Black (25 Months Warranty)",12399.0,95.81
"Samsung Galaxy A06, 6.7"", 4GB RAM+ 64GB (Dual SIM), 5000mAh, Black (1YR WRTY)",12399.0,95.81
"Oking OK310, 1.7"" Wireless FM, Bright Torch, 1000mAh, Tri SIM, 2G - Black (1YR WRTY): Remove Sticker On The Battery Terminal Before Use",740.0,5.72
"Samsung Galaxy A07 4G, 6.7"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black (2YRs WRTY)",13999.0,108.17
"OPPO A31, BLACK, 6GB + 128GB, Dual Sim, Refurbished",9380.0,72.48
